name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Cassis,2024-02-14,17,3,9.9,17,1.2,9.6,5.7,76.8,0,0,0,,0,0,25.9,13.9,82.7,1023.8,19.2,12.9,152.5,13.3,6,10,2024-02-14T07:38:03,2024-02-14T18:06:40,0.15,Clear,Clear conditions throughout the day.,clear-day,"LFMY,LFMI,E6174,LFML,LFTH"
Cassis,2024-02-15,13.8,12.7,13.3,13.8,12.7,13.3,10.1,81.3,0,0,0,,0,0,36,27.4,108,1022.7,95.5,24.1,117,10.1,5,10,2024-02-15T07:36:39,2024-02-15T18:08:00,0.19,Overcast,Cloudy skies throughout the day.,cloudy,
Cassis,2024-02-16,14.6,13,13.7,14.6,13,13.7,9.9,77.9,0,25.8,0,,0,0,25.9,19.1,315.3,1021.5,91.3,24.1,111.1,9.6,5,10,2024-02-16T07:35:14,2024-02-16T18:09:19,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
Cassis,2024-02-17,14.1,12.8,13.5,14.1,12.8,13.5,10.6,82.4,0,12.9,0,,0,0,18.4,10.8,331.7,1026.2,49.3,24.1,148.3,12.9,6,10,2024-02-17T07:33:47,2024-02-17T18:10:39,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cassis,2024-02-18,14,13.2,13.5,14,13.2,13.5,10.7,83.6,0,22.6,0,,0,0,27,20,295.2,1028.5,70.3,24.1,122.1,10.5,5,10,2024-02-18T07:32:19,2024-02-18T18:11:58,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cassis,2024-02-19,15.2,11.8,13.4,15.2,11.8,13.4,5.4,58.8,0,19.4,0,,0,0,73.8,50.8,321.1,1023.9,69.3,24.1,144.5,12.6,5,10,2024-02-19T07:30:50,2024-02-19T18:13:17,0.33,Partially cloudy,Becoming cloudy in the afternoon.,wind,
Cassis,2024-02-20,14.7,10.7,12.3,14.7,10.7,12.3,3.4,55.1,0,3.2,0,,0,0,74.2,50,321.4,1021,63.1,24.1,147.5,12.6,5,10,2024-02-20T07:29:20,2024-02-20T18:14:36,0.36,Partially cloudy,Clearing in the afternoon.,wind,
Cassis,2024-02-21,13.5,9.7,11.5,13.5,7.8,11.3,2.7,55.5,0,25.8,0,,0,0,31.1,21.1,306.6,1017.1,86.3,24.1,129.6,11.4,5,10,2024-02-21T07:27:48,2024-02-21T18:15:54,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cassis,2024-02-22,14.9,9.9,12.5,14.9,6.1,12.3,6.6,68.8,5.4,48.4,20.83,rain,0,0,72,36.7,326.2,1008.5,70.4,22.1,119.3,10.5,5,10,2024-02-22T07:26:16,2024-02-22T18:17:12,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Cassis,2024-02-23,11.5,8.8,10.1,11.5,4.7,8.5,4.4,67.8,0.5,41.9,8.33,rain,0,0,58.7,37.4,285,1013.1,65.1,23.6,120.8,10.7,5,10,2024-02-23T07:24:43,2024-02-23T18:18:30,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
